기준일(월말),시장,종목명,종목코드,시가총액,기준가,1개월(%),3개월(%),6개월(%),12개월(%),모멘텀스코어,다음달수익률(%),전달순위
2026-03-31,NASDAQ,Starbucks Corp,SBUX,0,89.59,-8.6,6.4,5.9,-8.7,10.6,0.87,
2026-03-31,NASDAQ,eBay Inc,EBAY,0,91.02,0.2,4.5,0.1,34.4,10.4,3.43,
2026-03-31,NASDAQ,Principal Financial Group Inc,PFG,0,90.11,-5.6,2.2,8.7,6.8,10.2,-0.01,
2026-03-31,NASDAQ,Xcel Energy Inc,XEL,0,79.44,-4.7,7.6,-1.5,12.2,10.1,1.64,
2026-03-31,NYSE,Union Pacific Corp,UNP,0,242.62,-8.4,4.9,2.6,2.7,10.0,0.86,
2026-03-31,NYSE,Philip Morris International Inc,PM,0,165.34,-11.5,3.1,1.9,4.2,10.0,-4.38,
2026-03-31,NASDAQ,Coca-Cola Europacific Partners PLC,CCEP,0,90.67,-17.9,-0.0,0.3,4.2,9.9,2.0,
2026-03-31,NYSE,Emerson Electric Co,EMR,0,131.02,-13.1,-1.3,-0.1,19.5,9.4,0.52,
2026-03-31,NASDAQ,Vertex Pharmaceuticals Inc,VRTX,0,446.54,-10.1,-1.5,14.0,-7.9,9.3,-1.75,
2026-03-31,NYSE,General Dynamics Corp,GD,0,343.22,-3.9,1.9,0.7,25.9,9.0,1.71,
2026-03-31,NYSE,US Bancorp,USB,0,52.01,-4.8,-2.5,7.6,23.2,8.8,1.81,
2026-03-31,NASDAQ,Tradeweb Markets Inc,TW,0,117.66,-4.5,9.4,6.0,-20.7,8.7,4.71,
2026-03-31,NYSE,Cloudflare Inc,NET,0,206.34,19.8,4.7,-3.8,83.1,8.5,2.59,
2026-03-31,NASDAQ,Fifth Third Bancorp,FITB,0,46.46,-6.1,-0.7,4.3,18.5,8.3,1.4,
2026-03-31,NASDAQ,CoreWeave Inc,CRWV,0,77.47,-2.6,8.2,-43.4,108.9,8.0,6.16,
2026-03-31,NASDAQ,Medline Inc,MDLN,0,44.5,-6.3,6.0,0.0,0.0,7.9,-0.49,
2026-03-31,NYSE,Waste Management Inc,WM,0,229.79,-4.6,4.6,4.1,-0.7,7.8,2.45,
