기준일,시장,종목명,종목코드,시가총액,기준가,전일거래량,1개월(%),3개월(%),6개월(%),12개월(%),모멘텀스코어,전달순위,3-1개월(%),6-1개월(%),12-1개월(%)
2026-04-09,KOSPI,SK리츠,395400,19054,6330,208844,1.8,13.8,19.7,27.6,25.5,253,11.79,17.58,25.34
2026-04-09,KOSDAQ,서부T&D,006730,8401,12940,661494,-0.8,-26.4,41.9,124.3,25.0,178,-25.81,43.04,126.11
2026-04-09,KOSPI,오리온,271560,51555,130400,75812,1.9,11.0,31.3,5.8,24.7,225,8.93,28.85,3.83
2026-04-09,KOSPI,현대위아,011210,21076,77500,155244,0.5,-9.6,32.3,81.1,24.4,162,-10.05,31.64,80.2
2026-04-09,KOSPI,영원무역,111770,35892,81000,97111,3.2,-10.9,40.1,71.1,24.0,238,-13.66,35.76,65.79
2026-04-09,KOSPI,GS리테일,007070,18769,22450,172134,2.5,1.4,26.6,51.7,23.5,222,-1.07,23.51,48.0
2026-04-09,KOSPI,고려아연,010130,318521,1526000,29220,7.3,-19.0,47.7,91.2,23.2,149,-24.51,37.65,78.19
2026-04-09,KOSDAQ,알지노믹스,476830,26042,186900,227866,-5.4,25.4,0.0,0.0,23.1,295,32.56,5.71,5.71
2026-04-09,KOSPI,기아,000270,587571,150500,1878867,3.7,-1.4,25.5,66.5,23.1,155,-4.92,21.02,60.56
2026-04-09,KOSPI,KT&G,033780,187152,163200,355070,2.5,6.0,21.6,42.3,22.8,228,3.41,18.63,38.83
2026-04-09,KOSDAQ,에코프로비엠,247540,201530,206000,574238,7.2,-11.2,28.7,103.0,22.4,110,-17.16,20.06,89.37
2026-04-09,KOSPI,산일전기,062040,43627,142500,296266,5.6,-3.4,-9.1,161.5,22.2,165,-8.52,-13.92,147.63
2026-04-09,KOSPI,금호타이어,073240,17867,6220,368752,4.5,3.3,31.8,29.0,22.1,245,-1.15,26.12,23.44
2026-04-09,KOSPI,한올바이오파마,009420,24579,47050,350803,-14.9,-8.6,13.6,69.5,21.3,119,7.4,33.49,99.18
2026-04-09,KOSDAQ,인벤티지랩,389470,8670,65300,63665,-0.3,-11.6,28.0,80.9,21.0,100,-11.33,28.39,81.44
2026-04-09,KOSPI,KT,030200,153733,61000,844684,1.0,7.2,24.1,17.8,20.9,239,6.14,22.87,16.63
2026-04-09,KOSPI,두산퓨얼셀,336260,23577,36000,330490,7.8,6.0,-15.7,135.9,20.3,164,-1.67,-21.8,118.83
2026-04-09,KOSPI,한국타이어앤테크놀로지,161390,78412,63300,642754,17.0,-0.3,36.6,52.9,20.1,220,-14.79,16.75,30.68
2026-04-09,KOSDAQ,리가켐바이오,141080,66008,180300,518099,-6.1,-11.2,23.2,71.7,20.0,191,-5.43,31.2,82.85
2026-04-09,KOSPI,이마트,139480,26078,94500,253433,-1.3,3.8,30.9,3.1,19.8,218,5.17,32.62,4.46
2026-04-09,KOSDAQ,메디포스트,078160,7762,19800,69672,-6.6,-17.5,14.5,116.4,19.8,139,-11.67,22.59,131.69
2026-04-09,KOSDAQ,코미코,183300,13075,125000,213743,16.5,-1.3,12.9,112.9,19.7,203,-15.28,-3.09,82.75
2026-04-09,KOSPI,다우기술,023590,20975,46750,19614,8.3,-12.1,19.9,115.4,19.2,180,-18.84,10.71,98.89
2026-04-09,KOSPI,에코프로머티,450080,52495,74400,1164089,11.0,10.2,18.1,34.1,18.5,185,-0.72,6.4,20.81
2026-04-09,KOSDAQ,다우데이타,032190,8828,23050,68469,5.0,-17.7,31.3,94.5,17.9,171,-21.62,25.05,85.24
2026-04-09,KOSDAQ,와이씨,232140,14776,18010,757044,7.1,-8.7,23.5,83.4,17.9,190,-14.75,15.31,71.24
2026-04-09,KOSPI,CJ대한통운,000120,23587,103400,86360,0.0,-0.4,25.5,24.3,17.3,224,-0.4,25.5,24.3
2026-04-09,KOSDAQ,레인보우로보틱스,277810,112325,579000,133990,11.1,-20.5,32.6,114.0,17.2,114,-28.44,19.35,92.62
2026-04-09,KOSPI,코리안리,003690,23086,11850,187020,-3.2,0.7,11.7,46.3,17.2,242,4.03,15.39,51.14
2026-04-09,KOSPI,POSCO홀딩스,005490,297023,367000,474808,10.4,5.6,18.2,40.9,16.6,230,-4.35,7.07,27.63
2026-04-09,KOSPI,현대해상,001450,26596,29750,350010,-1.3,5.7,9.0,34.0,16.5,269,7.09,10.44,35.76
2026-04-09,KOSPI,두산밥캣,241560,64606,67400,568116,18.5,14.6,11.8,37.6,15.9,283,-3.29,-5.65,16.12
2026-04-09,KOSPI,한온시스템,018880,40434,3940,4765197,5.3,20.3,-2.9,19.1,15.9,186,14.25,-7.79,13.11
2026-04-09,KOSDAQ,차바이오텍,085660,16147,17370,343136,0.1,-20.5,41.3,58.3,15.9,145,-20.58,41.16,58.14
2026-04-09,KOSDAQ,하나마이크론,067310,19797,29800,860314,7.2,-21.1,1.4,173.9,15.0,161,-26.4,-5.41,155.5
2026-04-09,KOSDAQ,에프에스티,036810,8653,40350,216444,10.5,-14.1,10.9,130.3,14.9,169,-22.26,0.36,108.42
2026-04-09,KOSDAQ,제룡전기,033100,7605,47350,97969,8.9,-3.1,21.7,52.0,14.4,174,-11.02,11.75,39.58
2026-04-09,KOSPI,한전KPS,051600,25875,57500,205525,3.6,2.7,13.4,30.4,13.1,233,-0.87,9.46,25.87
2026-04-09,KOSPI,현대글로비스,086280,159750,213000,212089,2.7,-12.0,12.8,86.8,12.9,168,-14.31,9.83,81.89
2026-04-09,KOSPI,카카오뱅크,323410,120471,25250,709308,5.4,10.3,9.1,13.2,12.7,264,4.65,3.51,7.4
2026-04-09,KOSPI,엔씨소프트,036570,50413,234000,226733,4.5,-0.2,6.1,59.9,12.6,250,-4.5,1.53,53.01
2026-04-09,KOSPI,기업은행,024110,173838,21800,1177895,2.1,-1.6,12.8,42.1,12.5,247,-3.62,10.48,39.18
2026-04-09,KOSDAQ,클로봇,466100,11708,46850,512694,-3.1,-36.8,15.4,162.0,12.2,157,-34.78,19.09,170.38
2026-04-09,KOSPI,CJ,001040,58645,201000,142265,6.3,-7.6,17.8,61.7,12.0,240,-13.08,10.82,52.12
2026-04-09,KOSPI,현대모비스,012330,364291,401500,270996,6.2,-10.6,27.1,50.1,12.0,216,-15.82,19.68,41.34
2026-04-09,KOSPI,SNT다이내믹스,003570,17557,52800,94276,9.3,6.6,-2.0,59.3,11.4,290,-2.47,-10.34,45.75
2026-04-09,KOSDAQ,코스메카코리아,241710,8351,78200,94331,-1.9,-18.9,18.3,80.8,11.2,213,-17.33,20.59,84.3
2026-04-09,KOSPI,포스코퓨처엠,003670,193902,218000,399050,7.1,-2.5,0.7,80.1,10.8,179,-8.96,-5.98,68.16
2026-04-09,KOSDAQ,LS마린솔루션,060370,15279,29250,114326,0.5,-9.4,1.2,86.6,10.1,193,-9.85,0.7,85.67
2026-04-09,KOSDAQ,포스코엠텍,009520,7591,18230,186820,6.0,-8.4,19.1,50.7,10.0,214,-13.58,12.36,42.17
2026-04-09,KOSPI,대한항공,003490,89293,24250,2370342,3.0,4.1,9.5,15.8,9.7,270,1.07,6.31,12.43
2026-04-09,KOSPI,한국콜마,161890,18506,78400,396949,3.2,12.2,1.8,3.3,9.7,251,8.72,-1.36,0.1
