단축코드,액면가
052300,5000
138070,500
083640,100
405000,500
091340,500
196700,500
432980,500
083470,500
010400,500
243870,500
368600,500
050110,500
080470,500
002820,1000
457600,100
216400,500
079650,100
191410,500
096690,2500
237750,500
317120,500
069640,500
015260,500
311060,500
031510,500
900100,1
030720,5000
115530,100
222980,500
279600,500
085810,500
016100,500
377330,500
032080,500
372800,500
318010,500
060380,500
109670,500
036480,500
016920,500
076080,500
900110,1
227610,500
023770,500
33626L,100
023790,500
007770,500
328380,100
042040,100
101400,500
034940,500
060900,500
002355,500
424760,100
139670,500
233990,100
355690,500
060230,100
044780,500
198940,500
900070,900070
004270,500
067730,500
131760,500
103230,500
043220,500
226340,100
070590,500
224060,500
464680,100
208350,500
131180,100
217620,100
377030,500
093380,500
417180,100
267790,500
406820,500
188040,200
331520,100
008775,5000
054090,500
005110,500
208640,100
115570,500
143210,500
021040,2500
002210,1000
003495,5000
278990,500
059180,500
078860,100
362990,100
037400,500
193250,100
044380,200
012170,500
011090,500
418620,500
197140,500
206950,500
032680,200
353190,100
900270,1
348030,100
403360,500
373110,500
309930,100
002680,500
054940,500
352940,500
101680,500
139050,500
207490,500
336040,500
308100,500
020400,1000
121890,500
154030,500
067010,500
130740,500
091970,500
415380,500
240600,500
113810,500
00499K,200
032280,1000
322780,100
043360,500
009310,500
291810,500
137940,100
389680,100
065150,100
019570,500
225590,100
050760,500
365900,500
001685,1000
017250,500
001420,500
238200,500
192390,500
001515,500
312610,500
076340,500
191600,500
053060,500
289010,500
025890,500
403810,100
275630,500
045520,500
177350,500
080720,500
084180,5000
098660,500
048830,500
230980,100
247660,500
110020,500
054410,500
065690,500
018620,500
102950,500
154040,500
014100,500
199730,500
084440,100
060260,500
215480,500
317860,500
134060,500
015020,500
019685,500
001770,5000
096870,500
361670,500
018700,1000
060480,500
419540,100
088290,500
069920,500
005257,500
071950,500
341170,500
067770,500
254160,500
217880,500
214610,500
344860,100
028080,500
222670,500
065420,100
051780,500
368970,500
011080,500
043590,500
032980,500
331660,500
18064K,2500
035620,500
009620,100
025870,500
083660,200
476710,100
009440,500
45226K,500
052960,500
152550,0
008600,1000
086220,500
250930,100
276730,500
069330,500
477380,100
241820,500
482680,100
001795,500
002070,500
035290,500
176590,500
012340,500
108675,5000
008500,1000
204210,0
121850,500
000087,5000
0072Z0,100
233250,500
106520,1000
050090,500
032800,500
005725,500
0101C0,100
225430,100
0130H0,100
